address1,city,zip,subDivision,state,beds,baths,full_baths,half_baths,price,lotSizeSqFt,sqft,yearBuilt,dateAdded,description
13727 131 Avenue,Edmonton,T5L 5A3,Athlone,AB,4,4,3,1,"$445,000",6129.4,2197,1993,10/7/2021,"Welcome to this RARE 4 bdrm. (up) home located on a quiet cul-de-sac and large pie shaped lot. This lovingly maintained 2 storey offers over 3200 sq. ft of total living space including 4 bdrms, 3.5 bath and a fully finished basement.  The main floor is made for large family gatherings with L/R, dining areas and great room all surrounding the generously sized kitchen with ample counter & storage space. Main floor laundry. Up you'll find the primary suite provides 4 pc ensuite and walk in closet while the other 3 rooms are well sized.  Basement is the perfect space for movie and game night with wet bar and pool table included.  Soak up the sunshine in your beautiful south facing backyard or stay shaded under the privacy of all the trees.  Upgrades include newer roof, windows and freshly painted.  Athlone is a fantastic neighbourhood that is centrally and conveniently located close to downtown, the Yellowhead and all the amenities one would need."
 Address Withheld,Edmonton,T6X 1G4,Ellerslie,AB,4,4,3,1,"$385,000",4142.7,1765,2003,10/7/2021,"*Please note* property is sold  as is where is at time of possession . No warranties or representations. Beautiful home in Ellerslie of Southeast Edmonton with a fully-finished basement! Open-concept main floor consists of a spacious living room, large corner kitchen with pantry & ample cabinet space, a generous dining area. Upper floor offers a Master bedroom with 5pc ensuite, 2 more good-sized bedrooms and a bonus room. The basement is finished with 1 bed/1 bath, tons of storage space and a wet bar! With some minor TLC needed, this property can be a wonderful investment OR your forever home! Come take a look today before it's too late!"
16220 92 Street,Edmonton,T5Z 3N1,Eaux Claires,AB,4,3,3,-1,"$339,000",8341.38,1103,2000,10/7/2021,"Property sold \u0022as is, where is\u0022. Located in beautiful Eaux Clares close to walking trails and parks. Fully finished bi-level with RV parking."
11208 49 Avenue,Edmonton,T6H 0G7,Malmo Plains,AB,4,2,2,-1,"$498,800",-1.0,1106,1963,10/7/2021,"LOCATION!LOCATION!LOCATION! Opportunity is knocking to this beautiful Charming bungalow. One of the largest lot (18.3mx37.1m) in malmo plain. Situated on a quilt street and facing a green space. This fresh renovated home features functional floor plan with 3 bedrooms and 1 bathroom on main, 3 bedrooms and a Den with 3pc bathroom in basement. The  kitchen has nice white cabinets with beautiful quartz counter tops. New flooring and paint. Schools, parks, shopping malls just steps away, 3 Minutes Walk to Southgate LRT. Ideal location to raise your family or a great revenue investment. No back alley, potential for subdivision for attached garage homes. Back utility lot is available for purchase too. Don't miss out!"
15028 135 Street,Edmonton,T6V 1M9,Cumberland,AB,4,2,2,-1,"$389,900",4137.21,1426,2001,10/7/2021,"The one you've been waiting for! Welcome home & enjoy approx 1846 sq ft of developed living space in this AMAZING 4 level split in Cumberland. Large foyer greets you + opens to beautiful living room with large windows, vaulted ceilings and LOADS of natural light! Pocket dining space is large enough for 6 and SUPER convenient for entertaining. Kitchen boasts white appliances, maple cabinetry, corner pantry and more! 3 great sized bedrooms up, including master bedroom with Jack & Jill closets & cheater 4 pc ensuite. Lower level is EXCEPTIONALLY well laid out, offering LARGE family room with corner fireplace, storage cupboard, HUGE 4 pc bath and back yard access. Basement is FULLY FINISHED with MORE storage space, large laundry room and 4th bedroom. Any gear head is going to LOVE this OVERSIZED double detached garage that boasts 220V wiring AND attached SHOP + storage room + rear lane access. Wrap around deck with attached awning + 2 entertaining areas are SURE to impress. A true must see to believe!"
31 Markham Crescent,Sherwood Park,T8A 3T4,Mills Haven,AB,4,3,1,2,"$349,800",-1.0,1188,1975,10/7/2021,"This beautiful home is located in the fantastic community of Mills Haven.  If you are looking for a 3 bedroom, 2 bath home with a double garage and a large back yard, look no further, this is it!  This home features over 2000 square feet of living space, a new hot water tank, a newer high-efficiency furnace, newer windows, newer shingles, a freshly renovated basement, and a peaceful backyard.  This home is located on a large lot within walking distance of many great amenities including schools and public transportation."
9344 64 Avenue,Edmonton,T6E 0H9,Hazeldean,AB,2,2,2,-1,"$448,710",6393.76,974,1954,10/7/2021,"Hazeldean Gem - you should see this yard! Pride of ownership throughout this gloriously maintained and renovated bungalow. Exterior features include shingles, siding and deck all done in 2015, stunning low maintenance landscaping and fully fenced. Rear Oversized insulated and heated double detached garage has extra high ceilings and a newer door. Inside the home you'll find all fresh newer paint, hardwood and tile floors. Kitchen has been all beautifully designed with custom cabinets and tile backsplash, with all newer appliances. Main floor has two bedrooms and a fully renovated main bath. In the fully finished basement you'll find an open and bright den/office, laundry, newer furnace and on demand hot water. Second kitchen, 3 piece bathroom and family room/flex workout room could be a great nanny/in law suite."
6219 187A Street,Edmonton,T5T 2T6,Ormsby Place,AB,4,3,2,1,"$415,000",-1.0,1707,1980,10/7/2021,"Located on a quiet street in the family friendly neighbourhood of Ormsby, this 4 bedroom 3 bath home offers nearly 2000 sq ft of finished living space! Greeted by a bright living room, spacious family room w/wood burning gas fireplace, newer sliding screen patio doors (2019) lead out to the gorgeous backyard with fruit trees & garden. ALL big ticket items have been completed including two high efficiency furnaces (May 2021), hot water tank (2016), all new windows throughout (2016), asphalt shingles (2017), fresh paint (July 2021), all new toilets, bathroom sinks, sink & light fixtures & countertops, ensuite shower & tile (2020) & main bath shower (2016). The practical u-shaped kitchen features a gas stove, brand new fridge, glass backsplash & cabinet interiors in great shape. With generously sized bedrooms & a partially finished basement awaiting your personal touch, this home has easy access to the Henday & Whitemud while being conveniently located close to parks, schools & all amenities. Act today!"
9010 101A Avenue,Edmonton,T5H 0C1,Riverdale,AB,3,3,2,1,"$649,888",-1.0,1913,1989,10/7/2021,"Spacious renovated 3 bedroom open design 2 storey has newer windows, shingles, deck and more, with fully finished basement. Stunning kitchen is at the center, formal living room at the front of home and a big family room and dining room at the back of the home. Bright and airy , the light is captured through the south front windows, dining room patio doors, and the 2-storey floor to ceiling windows in the family room. On the second floor the spacious master bedroom has a 3-piece ensuite & balcony over the front porch where you can enjoy morning coffee. Also on the 2nd floor is a bedroom, 5-piece bathroom and a loft featuring a wall of windows that looks over the backyard and river valley trees. Finished basement features include a den/flex room, huge bedroom, plenty of storage and furnace/utility room with newer high efficiency furnace and A/C. 2 tiered deck in the backyard, Off the back lane is a heated, oversized 2-car garage!"
4438 6A Street,Edmonton,T6T 0Z7,Maple,AB,3,3,2,1,"$389,900",3644.76,1510,2016,10/7/2021,"DOUBLE ATTACHED GARAGE, FINISHED BASEMENT, EXTENDED DECK!  This Coventry Built home is located in the growing community of Maple.  Plenty of shopping close by, Meadows Rec Center and the new Movie Theater! Step into the stunning kitchen with Beautiful dark cabinetry, light granite counter tops and s/s appliances. Adjacent to the kitchen is a large open living area with a cozy fireplace and a mantel leading into the great sized dining area with direct access onto the private deck area. Upstairs are 3 bedrooms and 2 bathrooms. The spacious master bedroom features; beautiful natural lighting, a luxurious 4 pc spa en suite and huge walk in closet with a window! The other 2 bedrooms are a fantastic size with beautiful closets. The Finished basement compliments this house as it can be used as a play area, sewing room, personal gym or TV room."
5153 190A Street,Edmonton,T6M 2R4,Jamieson Place,AB,4,2,2,-1,"$459,900",4463.04,1125,1997,10/7/2021,"A Jamieson Place GEM! Stunningly RENOVATED, and backs onto a GREENSPACE walk way. The main floor features vaulted ceiling, luxury vinyl plank & big windows that bathe the space with natural light. The entrance is tiled with stylish 3 toned hexagons, has a lrg closet & trendy bench.  The impressive kitcen has an abundance of cabinetry - white shaker with matte black sink, faucet & hardware, quartz counters, subway tile backsplash and Coffee bar alcove in the built-in pantry, lrg island, open shelving for display, & UPGRADED NEW G.E CAFE Appliances.  Custome railing leads you to the sizable family room featuring a warming gas fireplace & electrical above for a TV.  The 4th bed, 2nd bath are also found on this level. The fully finished basement features a large rec room & den. Upstairs you will find 3 spacious bdrms & and stylish bathroom. Honorable mentions are custom light filtering blinds, black outs in bedrooms, new patio door & AC. Attractive curb appeal & a nicely sized with deck completes the package."
11402 & 11404 42 Street,Edmonton,T5W 2M9,Beverly Heights,AB,8,4,4,-1,"$425,000",8121.15,1580,1958,10/7/2021,"Amazing potential value in this side-by-side duplex all on one title and 68x120ft CORNER LOT backing a park/ playground. 8 bedrooms total (2 up, 2 down per side), and 4 full bathrooms (1 up, 1 down per side).  So many options: move in and have a mortgage helper, have family live right next door, keep renting it out, update it and rent it for more, add suites in the basements to increase the overall rentability, or keep as a holding property and rent it out until you tear it down and build another property with potentially more suites ad higher rents.  One side is dated but move-in ready and is currently rented out for $1400 (was getting $1600 pre-covid). The other side needs more TLC but was getting $1400 with the previous tenant.  This property is being sold as is, where is."
16738 122A Street,Edmonton,T5X 0G3,Rapperswill,AB,5,4,3,1,"$519,900",3901.91,2092,2012,10/7/2021,"LOCATION!!! Breathtaking LAKE view, Finished basement, over 2,800 sqft. living space in Rapperswill. Absolutely gorgeous home with an open concept floor plan layout. Kitchen area connects to the dining and living room area on the main floor featuring a 9ft ceiling, kitchen with walk-in pantry, granite countertop, stunning dark hardwood floors, a beautiful  fireplace, laundry room and half bath. The Nook area is accompanied by a sliding door that opens to a huge 380 sq.ft 3-tier deck that looks out toward the wetlands/lake. Upstairs boasts a huge bonus room with a high ceiling, a spacious master bedroom fit with a luxurious 5 piece ensuite and walk-in closet. Three more large bedrooms and full bath .A fully finished basement with one large bedroom, full bath, flex room and wet bar provides a great opportunity for AirBnB or a multi-generational family. Amazing location, walking distance to all amenities from shopping to restaurants, Quick access to Anthony Henday.  Be ready to fall in love with this home!!!"
